,thscode,ths_jjggbl_fund
879,015653.OF,
880,015654.OF,
881,015720.OF,
882,015736.OF,101.55966132335
883,015746.OF,
884,015811.OF,
885,015815.OF,
886,015830.OF,
887,015832.OF,
888,015834.OF,
889,015848.OF,102.90147772383
890,015852.OF,
891,015853.OF,
892,015858.OF,
893,015893.OF,
894,015913.OF,
895,015917.OF,
896,015925.OF,
897,015949.OF,
898,015969.OF,
899,016009.OF,
900,016011.OF,
901,016023.OF,
902,016024.OF,
903,016031.OF,
904,016034.OF,
905,016111.OF,
906,016172.OF,
907,016184.OF,
908,016189.OF,
909,016191.OF,
910,016208.OF,
911,016212.OF,
912,016235.OF,
913,016247.OF,
914,016296.OF,
915,016396.OF,
916,016411.OF,
917,016426.OF,
918,016427.OF,
919,016432.OF,
920,016483.OF,
921,016497.OF,
922,016510.OF,
923,016526.OF,
924,016585.OF,
925,016609.OF,
926,016614.OF,
927,016674.OF,
928,016689.OF,
929,016695.OF,
930,016790.OF,
931,016793.OF,
932,016799.OF,
933,016812.OF,
934,016816.OF,
935,016871.OF,
936,016875.OF,
937,016885.OF,
938,016914.OF,
939,016925.OF,
940,016928.OF,
941,016947.OF,
942,016951.OF,
943,016955.OF,
944,017006.OF,
945,017024.OF,
946,017129.OF,
947,017137.OF,
948,017201.OF,
949,017305.OF,
950,017307.OF,
951,017314.OF,
952,017328.OF,
953,017428.OF,
954,017432.OF,
955,017438.OF,
956,017500.OF,
957,017529.OF,
958,017614.OF,
959,017659.OF,
960,017671.OF,
961,017681.OF,
962,017687.OF,
963,017695.OF,
964,017777.OF,
965,017812.OF,
966,018011.OF,
967,018085.OF,
968,018169.OF,
969,018196.OF,
970,018252.OF,
971,018256.OF,
972,018275.OF,
973,018407.OF,
974,018559.OF,
975,018584.OF,
976,018666.OF,
977,040040.OF,109.07238146606
978,040045.OF,111.57847131032
979,050027.OF,130.05502621199
