,thscode,杠杆比例标签20230630,杠杆比例标签20230331,杠杆比例标签20221231,杠杆比例标签20220930,杠杆比例标签20220630,杠杆比例标签20220331,lever
517,007915.OF,中,中,中,中,中,中,稳定中
518,006874.OF,中,中,中,中,中,中,稳定中
519,015834.OF,中,中,中,中,中,中,稳定中
520,004030.OF,中,中,中,中,中,中,稳定中
521,007958.OF,中,中,中,中,中,中,稳定中
522,007213.OF,中,中,中,中,中,中,稳定中
523,000186.OF,中,中,中,中,中,中,稳定中
524,000187.OF,中,中,中,中,中,中,稳定中
525,012242.OF,中,中,中,中,中,中,稳定中
526,017812.OF,中,中,中,中,中,中,稳定中
527,016674.OF,中,中,中,中,中,中,稳定中
528,016799.OF,中,中,中,中,中,中,稳定中
529,008409.OF,中,中,中,中,中,中,稳定中
530,014476.OF,中,中,中,中,中,中,稳定中
531,004689.OF,中,中,中,中,中,中,稳定中
532,000914.OF,中,中,中,中,中,中,稳定中
533,015893.OF,中,中,中,中,中,中,稳定中
534,002548.OF,中,中,中,中,中,中,稳定中
535,009643.OF,中,中,中,中,中,中,稳定中
536,007659.OF,中,中,中,中,中,中,稳定中
